Identifier,Country,Country code,Test type,Insecticide tested,Insecticide amount ,Synergist,Synergist Concentration,Intensity ,Year,1st admin level,WikiData accession,2nd admin level,3rd admin level,Site (Village or Locality),Latitude ,Longitude,Species tested,Total mosquitoes in all test replicates,Time at which mortality recorded,Calculated  average mortality adjusted for control  (%),Chemical type,Resistance status ,Resistance Intensity,Origin of tested mosquitoes,Data entry name,Data entry date,Additional notes
PMI002929,Nigeria,NG,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,70,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002930,Nigeria,NG,WHO,Pirimiphos-methyl,0.25%,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,95,24 hr,62.0%,Organophosphates,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002931,Nigeria,NG,WHO,DDT,4.00%,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,78,24 hr,41.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002932,Nigeria,NG,WHO,Permethrin,0.75%,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,100,24 hr,50.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002933,Nigeria,NG,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,86,24 hr,69.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002934,Nigeria,NG,WHO,Alphacypermethrin,0.05%,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,76,24 hr,87.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002935,Nigeria,NG,WHO,Propoxur,0.10%,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,93,24 hr,99.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002936,Nigeria,NG,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,75,24 hr,75.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002937,Nigeria,NG,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,75,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002938,Nigeria,NG,WHO,Pirimiphos-methyl,0.25%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,75,24 hr,65.0%,Organophosphates,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002939,Nigeria,NG,WHO,DDT,4.00%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,60,24 hr,63.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002940,Nigeria,NG,WHO,Permethrin,0.75%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,75,24 hr,73.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002941,Nigeria,NG,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,75,24 hr,76.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002942,Nigeria,NG,WHO,Alphacypermethrin,0.05%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,60,24 hr,70.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002943,Nigeria,NG,WHO,Propoxur,0.10%,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,75,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002944,Nigeria,NG,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,50.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002945,Nigeria,NG,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002946,Nigeria,NG,WHO,Pirimiphos-methyl,0.25%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,66.0%,Organophosphates,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002947,Nigeria,NG,WHO,DDT,4.00%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,31.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002948,Nigeria,NG,WHO,Permethrin,0.75%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,30.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002949,Nigeria,NG,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,84.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002950,Nigeria,NG,WHO,Alphacypermethrin,0.05%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,66.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002951,Nigeria,NG,WHO,Propoxur,0.10%,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002952,Nigeria,NG,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,32.5%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002953,Nigeria,NG,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002954,Nigeria,NG,WHO,Pirimiphos-methyl,0.25%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,46.0%,Organophosphates,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002955,Nigeria,NG,WHO,DDT,4.00%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,11.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002956,Nigeria,NG,WHO,Permethrin,0.75%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,81.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002957,Nigeria,NG,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,97.5%,Pyrethroids,Possible resistance,NA,NR,Amna_12122017,,
PMI002958,Nigeria,NG,WHO,Alphacypermethrin,0.05%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,99.0%,Pyrethroids,Susceptible,NA,NR,Amna_12122017,,
PMI002959,Nigeria,NG,WHO,Propoxur,0.10%,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002960,Nigeria,NG,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,24 hr,69.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002961,Nigeria,NG,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Amna_12122017,,
PMI002962,Nigeria,NG,WHO,Pirimiphos-methyl,0.25%,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,24 hr,98.0%,Organophosphates,Susceptible,NA,NR,Amna_12122017,,
PMI002963,Nigeria,NG,WHO,DDT,4.00%,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,24 hr,17.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002964,Nigeria,NG,WHO,Permethrin,0.75%,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,24 hr,77.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12122017,,
PMI002965,Nigeria,NG,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,24 hr,92.0%,Pyrethroids,Possible resistance,NA,NR,Amna_12122017,,
PMI002966,Nigeria,NG,WHO,Alphacypermethrin,0.05%,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,24 hr,93.0%,Pyrethroids,Possible resistance,NA,NR,Amna_12122017,,
PMI002967,Nigeria,NG,CDC,Lambda-cyhalothrin,12.5 µg,None,NA,NA,2014,Plateau State,Q503928,Pankshin,,Plateau,9.156,9.53,An. gambiae s.l.,100,30 min,85.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002968,Nigeria,NG,CDC,Bendiocarb,12.5 µg,None,NA,NA,2014,Plateau State,Q503928,Pankshin,,Plateau,9.156,9.53,An. gambiae s.l.,100,30 min,100.0%,Carbamates,Susceptible,NA,NR,Amna_12142017,,
PMI002969,Nigeria,NG,CDC,DDT,100 µg,None,NA,NA,2014,Plateau State,Q503928,Pankshin,,Plateau,9.156,9.53,An. gambiae s.l.,100,45 min,12.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002970,Nigeria,NG,CDC,Permethrin,21.5 µg,None,NA,NA,2014,Plateau State,Q503928,Pankshin,,Plateau,9.156,9.53,An. gambiae s.l.,100,30 min,5.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002971,Nigeria,NG,CDC,Deltamethrin,12.5 µg,None,NA,NA,2014,Plateau State,Q503928,Pankshin,,Plateau,9.156,9.53,An. gambiae s.l.,100,30 min,81.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002972,Nigeria,NG,CDC,Alphacypermethrin,12.5 µg,None,NA,NA,2014,Plateau State,Q503928,Pankshin,,Plateau,9.156,9.53,An. gambiae s.l.,100,30 min,89.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002973,Nigeria,NG,CDC,Lambda-cyhalothrin,12.5 µg,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,90,30 min,63.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002974,Nigeria,NG,CDC,Bendiocarb,12.5 µg,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,100,30 min,100.0%,Carbamates,Susceptible,NA,NR,Amna_12142017,,
PMI002975,Nigeria,NG,CDC,DDT,100 µg,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,91,45 min,41.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002976,Nigeria,NG,CDC,Deltamethrin,12.5 µg,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,93,30 min,82.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002977,Nigeria,NG,CDC,Alphacypermethrin,12.5 µg,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,101,30 min,89.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002978,Nigeria,NG,CDC,Propoxur,NR,None,NA,NA,2014,Jigawa State,Q682691,Kaugama,,Jigawa ,12.446,9.7233,An. gambiae s.l.,100,NR,100.0%,Carbamates,Susceptible,NA,NR,Amna_12142017,,
PMI002979,Nigeria,NG,CDC,Lambda-cyhalothrin,12.5 µg,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,80,30 min,92.0%,Pyrethroids,Possible resistance,NA,NR,Amna_12142017,,
PMI002980,Nigeria,NG,CDC,Bendiocarb,12.5 µg,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,80,30 min,100.0%,Carbamates,Susceptible,NA,NR,Amna_12142017,,
PMI002981,Nigeria,NG,CDC,DDT,100 µg,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,80,45 min,0.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002982,Nigeria,NG,CDC,Permethrin,21.5 µg,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,80,30 min,42.5%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002983,Nigeria,NG,CDC,Deltamethrin,12.5 µg,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,80,30 min,62.5%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002984,Nigeria,NG,CDC,Alphacypermethrin,12.5 µg,None,NA,NA,2014,Rivers State,Q503923,Obio-Akpor,,Rivers,4.8788,7.0527,An. gambiae s.l.,80,30 min,82.5%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002985,Nigeria,NG,CDC,Lambda-cyhalothrin,12.5 µg,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,52,30 min,73.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002986,Nigeria,NG,CDC,Bendiocarb,12.5 µg,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,30 min,100.0%,Carbamates,Susceptible,NA,NR,Amna_12142017,,
PMI002987,Nigeria,NG,CDC,DDT,100 µg,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,45 min,11.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002988,Nigeria,NG,CDC,Permethrin,21.5 µg,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,30 min,32.5%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002989,Nigeria,NG,CDC,Deltamethrin,12.5 µg,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,50,30 min,46.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002990,Nigeria,NG,CDC,Alphacypermethrin,12.5 µg,None,NA,NA,2014,Enugu State,Q3817714,Enugu North,,Enugu,6.4525,7.522,An. gambiae s.l.,80,30 min,31.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002991,Nigeria,NG,CDC,Lambda-cyhalothrin,12.5 µg,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,30 min,91.0%,Pyrethroids,Possible resistance,NA,NR,Amna_12142017,,
PMI002992,Nigeria,NG,CDC,DDT,100 µg,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,45 min,34.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002993,Nigeria,NG,CDC,Permethrin,21.5 µg,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,30 min,91.0%,Pyrethroids,Possible resistance,NA,NR,Amna_12142017,,
PMI002994,Nigeria,NG,CDC,Deltamethrin,12.5 µg,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,30 min,95.0%,Pyrethroids,Possible resistance,NA,NR,Amna_12142017,,
PMI002995,Nigeria,NG,CDC,Alphacypermethrin,12.5 µg,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,30 min,66.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002996,Nigeria,NG,CDC,Propoxur,NR,None,NA,NA,2014,Katsina State,Q657821,Dan Musa,,Nasarawa,12.22416,7.33611,An. gambiae s.l.,80,NR,100.0%,Carbamates,Susceptible,NA,NR,Amna_12142017,,
PMI002997,Nigeria,NG,CDC,Bendiocarb,12.5 µg,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,30 min,100.0%,Carbamates,Susceptible,NA,NR,Amna_12142017,,
PMI002998,Nigeria,NG,CDC,DDT,100 µg,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,45 min,48.0%,Organochlorides,Confirmed resistance,NA,NR,Amna_12142017,,
PMI002999,Nigeria,NG,CDC,Permethrin,21.5 µg,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,30 min,60.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI003000,Nigeria,NG,CDC,Deltamethrin,12.5 µg,None,NA,NA,2014,Lagos State,Q815913,Oshodi-Isolo,,Lagos,6.487877,3.295659,An. gambiae s.l.,100,30 min,85.0%,Pyrethroids,Confirmed resistance,NA,NR,Amna_12142017,,
PMI003037,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,8.7%,Carbamates,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003038,Senegal,SN,WHO,Malathion,5.00%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,Ellie_07032016,,
PMI003039,Senegal,SN,WHO,DDT,4.00%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,13.9%,Organochlorides,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003040,Senegal,SN,WHO,Dieldrin,4.00%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,78.0%,Organochlorides,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003041,Senegal,SN,WHO,Fenitrothion,1.00%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,Ellie_07032016,,
PMI003042,Senegal,SN,WHO,Pirimiphos-methyl,0.25%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,Ellie_07032016,,
PMI003043,Senegal,SN,WHO,Alphacypermethrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,85.8%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003044,Senegal,SN,WHO,Cyfluthrin,0.15%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,39.3%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003045,Senegal,SN,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,89.4%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003046,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,85.8%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003047,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2014,Dakar Region,Q856268,Dakar Department,,Dakar Centre,14.722009,-17.453554,An. gambiae s.l.,NR,24 hr,75.7%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003048,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Dakar Region,Q856268,Pikine Department,,Pikine,14.755655,-17.395897,An. gambiae s.l.,NR,24 hr,34.0%,Carbamates,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003049,Senegal,SN,WHO,DDT,4.00%,None,NA,NA,2014,Dakar Region,Q856268,Pikine Department,,Pikine,14.755655,-17.395897,An. gambiae s.l.,NR,24 hr,0.9%,Organochlorides,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003050,Senegal,SN,WHO,Fenitrothion,1.00%,None,NA,NA,2014,Dakar Region,Q856268,Pikine Department,,Pikine,14.755655,-17.395897,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,Ellie_07032016,,
PMI003051,Senegal,SN,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,Pikine Department,,Pikine,14.755655,-17.395897,An. gambiae s.l.,NR,24 hr,50.0%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003052,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,Pikine Department,,Pikine,14.755655,-17.395897,An. gambiae s.l.,NR,24 hr,59.3%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003053,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2014,Dakar Region,Q856268,Pikine Department,,Pikine,14.755655,-17.395897,An. gambiae s.l.,NR,24 hr,23.3%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003054,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,64.1%,Carbamates,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003055,Senegal,SN,WHO,Malathion,5.00%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,Ellie_07032016,,
PMI003056,Senegal,SN,WHO,DDT,4.00%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,1.9%,Organochlorides,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003057,Senegal,SN,WHO,Dieldrin,4.00%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,18.1%,Organochlorides,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003058,Senegal,SN,WHO,Fenitrothion,1.00%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,Ellie_07032016,,
PMI003059,Senegal,SN,WHO,Pirimiphos-methyl,0.25%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,Ellie_07032016,,
PMI003060,Senegal,SN,WHO,Alphacypermethrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,69.4%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003061,Senegal,SN,WHO,Cyfluthrin,0.15%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,23.9%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003062,Senegal,SN,WHO,Deltamethrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,43.4%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003063,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,38.7%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003064,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2014,Dakar Region,Q856268,GuÃ©diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,5.0%,Pyrethroids,Confirmed resistance,NA,NR,Ellie_07032016,,
PMI003065,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2014,Diourbel Region,Q856261,Diourbel Department,,Bambey,14.75,-16.5,An. gambiae s.l.,NR,24 hr,100.0%,Carbamates,Susceptible,NA,NR,Ellie_07032016,,
PMI003066,Senegal,SN,WHO,DDT,4.00%,None,NA,NA,2014,Diourbel Region,Q856261,Diourbel Department,,Bambey,14.75,-16.5,An. gambiae s.l.,NR,24 hr,39.0%,Organochlorides,Confirmed resistance,NA,NR,Ellie_07032016,,
